2020-04-26 05:15:06.080 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 05:15:06.228 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 05:15:06.280 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 05:15:06.288 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 05:15:06.356 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 05:15:06.408 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 05:15:06.441 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 05:15:06.471 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 05:15:07.537 [info] <0.44.0> Application microservice_2 started on node nonode@nohost
2020-04-26 06:31:43.577 [info] <0.60.0> SIGTERM received - shutting down
2020-04-26 06:39:34.397 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 06:39:34.432 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 06:39:34.576 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 06:39:34.594 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 06:39:34.608 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 06:39:34.717 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 06:39:34.734 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 06:39:34.890 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 06:39:34.891 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 06:39:34.929 [info] <0.44.0> Application amqp_client started on node nonode@nohost
